breadth,ic,alpha,cost_bps,excess_net,se,sharpe_net,sharpe_gross,excess_vs_rebal,turnover,ic_achieved,n,t
10,0.02,0.75,10.0,-0.027630271606935132,0.00618449900635668,0.4930220667205922,0.5452205409994458,-0.026677394953728617,0.3249294393862883,0.02078983295816666,40,-4.467665299733351
10,0.02,0.75,25.0,-0.10593357965881782,0.006295563240059134,0.4147187586687095,0.5452205409994458,-0.10224201856719242,0.3249294393862883,0.02078983295816666,40,-16.826704080225042
10,0.02,0.75,50.0,-0.23644139473240675,0.006581581478687632,0.2842109435951206,0.5452205409994458,-0.2281853110757852,0.3249294393862883,0.02078983295816666,40,-35.92470829359894
10,0.02,1.0,0.0,0.029942940641633366,0.0075687796206781914,0.5505952789691607,0.5505952789691607,0.029070040010750708,0.4784113088820174,0.02078983295816666,40,3.9561121002688626
10,0.02,1.0,10.0,-0.04637273980912429,0.007633674797449921,0.47427959851840307,0.5505952789691607,-0.04541986315591778,0.4784113088820174,0.02078983295816666,40,-6.074759672054069
10,0.02,1.0,25.0,-0.16086349538887812,0.0077953200841209234,0.3597888429386492,0.5505952789691607,-0.15717193429725274,0.4784113088820174,0.02078983295816666,40,-20.635906371126087
10,0.02,1.0,50.0,-0.3516835818217762,0.00822488153990497,0.1689687565057511,0.5505952789691607,-0.3434274981651547,0.4784113088820174,0.02078983295816666,40,-42.758498115200766
10,0.05,0.0,0.0,0.0,0.0,0.5206523383275273,0.5206523383275273,-0.0008729006308826516,3.4808491448009196e-17,0.047386756752912255,40,0.0
10,0.05,0.0,10.0,0.0,0.0,0.5206523383275273,0.5206523383275273,0.0009528766532065101,3.4808491448009196e-17,0.047386756752912255,40,0.0
10,0.05,0.0,25.0,0.0,0.0,0.5206523383275273,0.5206523383275273,0.0036915610916253895,3.4808491448009196e-17,0.047386756752912255,40,0.0
10,0.05,0.0,50.0,0.0,0.0,0.5206523383275273,0.5206523383275273,0.008256083656621508,3.4808491448009196e-17,0.047386756752912255,40,0.0
10,0.05,0.025,0.0,0.0025077587712108384,0.0019972552943911337,0.5231600970987381,0.5231600970987381,0.0016348581403281867,0.009083335562770311,0.047386756752912255,40,1.25560251523846
10,0.05,0.025,10.0,0.0010334109279249218,0.002000299278821123,0.5216857492554523,0.5231600970987381,0.0019862875811314322,0.009083335562770311,0.047386756752912255,40,0.5166281560297131
10,0.05,0.025,25.0,-0.0011781083593852746,0.002004971162119742,0.5194742299681421,0.5231600970987381,0.002513452732240115,0.009083335562770311,0.047386756752912255,40,-0.587593668000555
10,0.05,0.025,50.0,-0.004863967111934391,0.002013037867332343,0.515788371215593,0.5231600970987381,0.0033921165446871154,0.009083335562770311,0.047386756752912255,40,-2.4162322978951556
10,0.05,0.05,0.0,0.004862768354650745,0.002350164881312047,0.525515106682178,0.525515106682178,0.0039898677237680934,0.01819664318908893,0.047386756752912255,40,2.0691179556457184
10,0.05,0.05,10.0,0.0019097026888034718,0.002356789623228418,0.5225620410163307,0.525515106682178,0.002862579342009982,0.01819664318908893,0.047386756752912255,40,0.8102983270044656
10,0.05,0.05,25.0,-0.002519892499405307,0.0023670926775563885,0.518132445828122,0.525515106682178,0.0011716685922200827,0.01819664318908893,0.047386756752912255,40,-1.0645516854061912
10,0.05,0.05,50.0,-0.00990254134859479,0.002385226187145928,0.5107497969789325,0.525515106682178,-0.0016464576919732819,0.01819664318908893,0.047386756752912255,40,-4.151615222891627
10,0.05,0.1,0.0,0.008969868264309826,0.002781084276762301,0.5296222065918371,0.5296222065918371,0.008096967633427175,0.03668471974307675,0.047386756752912255,40,3.225313356829452
10,0.05,0.1,10.0,0.003017986832228699,0.002794013948395323,0.523670325159756,0.5296222065918371,0.003970863485435209,0.03668471974307675,0.047386756752912255,40,1.0801616913766696
10,0.05,0.1,25.0,-0.005909852259487747,0.0028147249674400285,0.5147424860680395,0.5296222065918371,-0.0022182911678623575,0.03668471974307675,0.047386756752912255,40,-2.099619795131428
10,0.05,0.1,50.0,-0.020789620555898402,0.0028526681064190485,0.49986271777162894,0.5296222065918371,-0.012533536899276896,0.03668471974307675,0.047386756752912255,40,-7.287781045792808
10,0.05,0.2,0.0,0.017186423402327393,0.003437596472518038,0.5378387617298548,0.5378387617298548,0.016313522771444742,0.07480581029610732,0.047386756752912255,40,4.999546497014626
10,0.05,0.2,10.0,0.005059034750187021,0.0034576495482829153,0.5257113730777143,0.5378387617298548,0.006011911403393531,0.07480581029610732,0.047386756752912255,40,1.4631427157501722
10,0.05,0.2,25.0,-0.013132211229887813,0.003492344617992339,0.5075201270976395,0.5378387617298548,-0.009440650138262424,0.07480581029610732,0.047386756752912255,40,-3.760285042384274
