breadth,ic,cost_bps,alpha_star,excess_net,se,t,turnover
50,0.0,10.0,0.0,0.0,0.0,0.0,4.4958204910641735e-17
50,0.0,25.0,0.0,0.0,0.0,0.0,4.4958204910641735e-17
50,0.0,50.0,0.0,0.0,0.0,0.0,4.4958204910641735e-17
50,0.02,0.0,1.0,0.035255181647120784,0.003887574529211139,9.068683155066024,0.4748073700011912
50,0.02,10.0,0.0,0.0,0.0,0.0,4.4958204910641735e-17
50,0.02,25.0,0.0,0.0,0.0,0.0,4.4958204910641735e-17
50,0.02,50.0,0.0,0.0,0.0,0.0,4.4958204910641735e-17
50,0.05,0.0,1.0,0.09389272033678567,0.003989142017116018,23.53707136369794,0.47490185846720284
50,0.05,10.0,0.75,0.017710010138145924,0.003237542531717651,5.4702015385570935,0.321945737510152
50,0.05,25.0,0.0,0.0,0.0,0.0,4.4958204910641735e-17
50,0.05,50.0,0.0,0.0,0.0,0.0,4.4958204910641735e-17
50,0.1,0.0,1.0,0.19174983061587408,0.004243673103842868,45.18487308606183,0.47505924603993127
50,0.1,10.0,1.0,0.113187267595972,0.004020172412212225,28.15482919392683,0.47505924603993127
50,0.1,25.0,0.5,0.014377342406854501,0.002520069324155393,5.70513765992255,0.19841329444719116
50,0.1,50.0,0.0,0.0,0.0,0.0,4.4958204910641735e-17
50,0.2,0.0,1.0,0.3881421642725998,0.004997388564384174,77.66899837223892,0.4753577149768999
50,0.2,10.0,1.0,0.30950970435959124,0.004618658691394621,67.01289812478733,0.4753577149768999
50,0.2,25.0,1.0,0.19155467746653204,0.004159363015088284,46.053849296552976,0.4753577149768999
50,0.2,50.0,0.5,0.03031388043635571,0.002484114001657395,12.203095516602845,0.198631467161117
100,0.0,0.0,0.0,0.0,0.0,0.0,5.735326719117385e-17
100,0.0,10.0,0.0,0.0,0.0,0.0,5.735326719117385e-17
100,0.0,25.0,0.0,0.0,0.0,0.0,5.735326719117385e-17
100,0.0,50.0,0.0,0.0,0.0,0.0,5.735326719117385e-17
100,0.02,0.0,1.0,0.037171893993245025,0.002833036176145957,13.120868101237386,0.473794775926866
100,0.02,10.0,0.0,0.0,0.0,0.0,5.735326719117385e-17
100,0.02,25.0,0.0,0.0,0.0,0.0,5.735326719117385e-17
100,0.02,50.0,0.0,0.0,0.0,0.0,5.735326719117385e-17
100,0.05,0.0,1.0,0.0970146876068617,0.0029418779516753877,32.97712862344008,0.47390208257896094
100,0.05,10.0,0.75,0.019261977575730414,0.0021586954995851328,8.922971108909183,0.3213130510085362
100,0.05,25.0,0.0,0.0,0.0,0.0,5.735326719117385e-17
100,0.05,50.0,0.0,0.0,0.0,0.0,5.735326719117385e-17
100,0.1,0.0,1.0,0.1968351890929848,0.0032477466431889033,60.60669464651218,0.47407080424836645
100,0.1,10.0,1.0,0.11819847928447633,0.00297793399303166,39.691436936164386,0.47407080424836645
100,0.1,25.0,0.5,0.016039663258722855,0.001624216207652858,9.875325208028583,0.1980923503695188
100,0.1,50.0,0.0,0.0,0.0,0.0,5.735326719117385e-17
100,0.2,0.0,1.0,0.3969025790060915,0.0041658078595931194,95.2762567030294,0.4744627196784973
100,0.2,10.0,1.0,0.3181786862037258,0.00373226231031918,85.25089067936263,0.4744627196784973
100,0.2,25.0,1.0,0.20009687627575617,0.003181496542171559,62.89394743116026,0.4744627196784973
100,0.2,50.0,0.5,0.033794289519471735,0.0015932858577252416,21.21043713255596,0.19833616880846766
