,ew_net,po_net,base_net,nom_net,dr_net,dr_net_learn_delta,dr_net_learn_gamma,dr_net_learn_theta,polab_equal_weight,polab_min_variance,polab_max_sharpe,polab_risk_parity
2018-06-01,-0.004132681485082673,-0.005572606082521687,-0.020422916125739526,0.004839719235584419,-0.00811336861176298,-0.007401730591293728,-0.006749069104022908,-0.006161436373189697,-0.004132681485082673,-0.002567597175008947,0.000644636135095954,-0.003812018601456936
2018-06-08,0.018168211474445518,0.002842774177447681,0.024999999680208492,0.012008997677890983,0.02091313012870661,-0.007511758453238702,-0.0035221647926096267,0.018819011511434093,0.01816821147444552,0.007045245201739337,0.01587650272530449,0.015885068534140852
2018-06-15,-0.012014546731566312,-0.003937908001159716,-0.028890287839279737,-0.00018857047763488465,-0.024536532528035004,-0.0018048610763680972,0.002923237099384067,-0.01790326529281223,-0.012014546731566312,-0.010114467276102039,-0.012070656044441247,-0.010440218145060968
2018-06-22,-0.006932556989521105,-0.0037734005250049446,-0.019925856970984358,-0.023118154572318268,-0.02101135238983374,0.0033180602260407576,-0.005907517288658362,-0.02150458727695331,-0.006932556989521105,-0.0030904505079693678,-0.010138720634352831,-0.005141911615743027
2018-06-29,-0.007271159992126786,0.006848271469200791,-0.014657210080897024,-0.012711386478351783,-0.017656637321329244,0.014424074833291532,0.015356759776197361,-0.009014150734858032,-0.007271159992126785,0.0025956165665918804,-0.01574283872054819,-0.004737401562963058
2018-07-06,0.00951195068299419,0.011128245522757013,0.0040483276650018305,0.008585270287068635,0.012105931196790215,0.01454497386844592,0.014877917735292446,0.01096178089377461,0.009511950682994192,0.01156704695368024,0.00997957022078779,0.010440789265388484
2018-07-13,0.01893364196922264,0.006532160184076052,0.02210263302263683,0.027546399755405113,0.024486687741079545,0.015419388391476765,0.016077841970427276,0.03993212623863003,0.01893364196922264,0.014762406047334913,0.034708675988788316,0.017068715706393792
2018-07-20,0.00402545309712008,0.010238910921504547,0.0462579898773385,0.005646091276578677,0.006385096568701043,-0.0036072485618475264,-0.0025688029860716265,0.014669564633945443,0.00402545309712008,-0.0033115045447678583,0.013475850783187956,0.0018227775981206288
2018-07-27,0.010810282396998926,0.015827960418455807,0.04268511409207971,0.0005732973591762656,-0.005784067429761243,0.009461820088158168,0.009591480492415398,0.018841079739889806,0.010810282396998928,0.004827406910857476,0.01150379280437536,0.008971807127933478
2018-08-03,0.010992495035881594,0.002653005190910541,0.009135566822781426,0.033741338784200145,0.02218631889952121,0.00782368943786376,0.005242876629557766,0.032677880608784994,0.010992495035881594,0.006791894873873931,0.01673505737850773,0.010299477809125388
